seconds,raw_value,our-attention,attention,our_attention,blink,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
20.490587,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
20.5951252,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
20.699646,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
20.80418706,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
20.90861201,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
21.01306295,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
21.11770511,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
21.22201896,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
21.32657504,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
21.43124604,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
21.53518915,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
21.64000916,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
21.74451804,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
21.84895611,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
21.9532671,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
22.05798316,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
22.16271305,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
22.26722217,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
22.37143803,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
22.47169113,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
22.57464004,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
22.67877603,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
22.78303194,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
22.88813901,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
22.99267483,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
23.09713602,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
23.20196104,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
23.30582404,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
23.41058803,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
23.51512599,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
23.61978507,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
23.72407007,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
23.82857513,89,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
23.93304586,89,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
24.03760386,-18,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
24.14225698,8,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
24.24655294,65,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
24.35109901,33,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
24.45559096,33,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
24.5600369,33,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
24.66439509,33,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
24.76904416,33,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
24.87358904,33,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
24.9762311,33,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
25.08150101,86,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
25.18178391,86,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
25.28527403,86,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
25.39015007,86,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
25.49429703,86,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
25.59910321,86,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
25.7033062,25,1.537932352,34,1.537932352,0,7405,18303,18647,7518,6468,20341,11346,20120
25.80808306,25,1.537932352,34,1.537932352,0,7405,18303,18647,7518,6468,20341,11346,20120
25.91273212,25,1.537932352,34,1.537932352,0,7405,18303,18647,7518,6468,20341,11346,20120
26.01710916,25,1.537932352,34,1.537932352,0,7405,18303,18647,7518,6468,20341,11346,20120
26.1216228,25,1.537932352,34,1.537932352,0,7405,18303,18647,7518,6468,20341,11346,20120
26.22610688,25,1.537932352,34,1.537932352,0,7405,18303,18647,7518,6468,20341,11346,20120
26.33071494,25,1.537932352,34,1.537932352,0,7405,18303,18647,7518,6468,20341,11346,20120
26.4346621,25,1.537932352,34,1.537932352,0,7405,18303,18647,7518,6468,20341,11346,20120
26.53957796,25,1.537932352,34,1.537932352,0,7405,18303,18647,7518,6468,20341,11346,20120
26.64410615,25,1.537932352,34,1.537932352,0,7405,18303,18647,7518,6468,20341,11346,20120
26.74857092,25,1.537932352,34,1.537932352,0,7405,18303,18647,7518,6468,20341,11346,20120
26.85167813,25,1.537932352,34,1.537932352,0,7405,18303,18647,7518,6468,20341,11346,20120
26.95194006,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
27.05415297,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
27.15867805,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
27.25944686,170,0.233627204,47,0.233627204,0,371916,29703,1448,4904,5026,2769,3333,742
